sentenceid	globalindex	lemma	lemmaindex	leftcontext	headword	rightcontext	gs_expert	C1	C2	C3	C4	C5	vote	mace
aaaa	193	instruction	22	For the Chief of Department 's	instructions	 , see NYPD interview 8 , HQ ( Feb .	PROC	RES	RES	RES	RES	PROC	RES	RES
aaaa	229	instruction	26	When the balloonist yells perfectly reasonable	instructions	to his would-be helpers in the field , they all ignore him because he appears incompetent .	PROC	RES	PROC	RES	RES	PROC	RES	RES
aaaa	241	instruction	28	Having been only the second set of buildings erected in the country expressly for art	instruction	 , Herron has had a long history of granting degrees through Indiana University for many of the state 's artists , art teachers , art scholars and visual designers .	PROC	RES	PROC	PROC	PROC	RES	PROC	PROC
aaaa	237	acquisition	28	Ultimately , this should improve cost , schedule , and quality outcomes of DOD major weapon system	acquisitions	0	PROC	DOT	RES	RES	PROC	RES	RES	DOT
aaaa	243	acquisition	29	Indeed , the market as perceived by Schleifer consists largely of educated adults and browsers of difficult words and word lovers of all sorts : relatively short shrift is given to high school and college students , and , mercifully , no mention at all is made of those who might have been sold on the promise of a better life--or a better after-life , or perhaps a better half-life--through the	acquisition	of an expanded vocabulary .	DOT	PROC	PROC	PROC	RES	DOT	PROC	DOT
aaaa	164	acquisition	20	An effective	acquisition	plan is critical to project success .	PROC	PROC	RES	PROC	RES	PROC	PROC	PROC
aaaa	176	acquisition	21	acquisitions , withdrawals , and ending balance should be shown by major categories of use , and methods of	acquisition	and withdrawal identified .	PROC	PROC	PROC	RES	PROC	RES	PROC	PROC
aaaa	205	acquisition	24	Controls over the safeguarding of resources include policies and procedures that management has implemented to reasonably prevent or promptly detect unauthorized	acquisition	 , use , or disposition of resources .	PROC	RES	RES	PROC	RES	PROC	RES	RES
aaaa	215	acquisition	25	In other words , I set aside $ 3 billion to pay for the	acquisition	of Company X , but in reality it only costs me $ 2 .	DOT	PROC	PROC	PROC	PROC	PROC	PROC	PROC
aaaa	232	acquisition	27	What other	acquisition	might serve your high economic and social status ?	DOT	PROC	PROC	DOT	DOT	PROC	PROC	DOT
aaaa	361	imitation	43	Too close to the sea for safety from raids , it must have depended on its impressive fortifications for protection ( the massive walls you see today are mere	imitations	of the originals . )	RES	PROC	RES	DOT	RES	RES	RES	DOT
aaaa	359	classification	43	With few exceptions , acquired small focal metaplasias and hyperplasias have a very low chance of progression to cancer , and have been excluded from the	classification	schema because they rarely result in cancer without first growing into diffuse lesions ( the class 4 lesions ) or acquiring nuclear atypia ( class 1 lesions ) .	PROC	RES	PROC	RES	PROC	PROC	PROC	PROC
aaaa	345	imitation	41	Conspiratorial conservatives have a tendency toward what Hofstadter called &#34 the	imitation	of the enemy . &#34	PROC	PROC	PROC	PROC	DOT	RES	PROC	DOT
aaaa	336	imitation	40	Unfortunately Hitchens did n't design the human brain , which learns by	imitation	0	PROC	PROC	RES	PROC	RES	PROC	PROC	PROC
aaaa	384	imitation	47	Kaufman 's Elvis	imitation	came before the King died and well before Elvis imitators were legion .	RES	RES	PROC	PROC	DOT	RES	DOT	DOT
aaaa	372	imitation	45	Even the Dalai Lama seems to have abandoned real Buddhism for the flaccid Western	imitation	0	RES	RES	RES	RES	PROC	RES	RES	RES
aaaa	388	classification	48	Database annotation can be used to improve the	classification	system .	PROC	PROC	DOT	PROC	PROC	PROC	PROC	PROC
aaaa	439	reference	55	That 's the strangest thing about Sheehy 's model of development : The self comes off as organic , context-less , and amoral , judged only in	reference	to the imperative to grow .	PROC	RES	RES	PROC	PROC	RES	RES	RES
aaaa	84	illustration	10	The Post 's first	illustration	of the INS shift is the release Friday of an Ethiopian woman who had been jailed by the INS because she was on probation following a conviction for shoplifting clothes for her children .	RES	DOT	RES	RES	RES	RES	RES	DOT
aaaa	111	illustration	13	Q : Is there an	illustration	with the ad ?	RES	RES	RES	RES	RES	PROC	RES	RES
aaaa	100	illustration	12	However , security managers at each organization agreed that the 16 practices outlined in the following	illustration	 , which relate to the five risk management principles , were key to the effectiveness of their programs .	RES	PROC	RES	RES	RES	RES	RES	RES
aaaa	128	illustration	15	The latest	illustration	of this principle is the lack of publicity surrounding some apparent plagiarism committed by Monica Crowley , Richard Nixon 's former editorial adviser and research consultant , now a Fox News political analyst and author of two titillating books dishing &#34 candid commentary &#34 from her mentor , Nixon Off the Record , which had a splashy Clinton-bashing excerpt in The New Yorker , and Nixon in Winter .	RES	PROC	DOT	RES	RES	RES	RES	RES
aaaa	119	illustration	14	Accompanying the discussion of each practice is a case	illustration	involving a federal agency that has made progress in incorporating the practice into its operations .	PROC	RES	RES	RES	RES	PROC	RES	RES
aaaa	145	illustration	17	He was the brilliant medieval craftsman envisioned by Morris , turning out extraordinary designs for just about everything--not only such Morris staples as tapestries , stained glass , tiles , furniture , and book	illustrations	but also jewelry , fans , and embroidered shoes .	RES	RES	RES	RES	RES	RES	RES	RES
aaaa	135	illustration	16	It 's a small	illustration	of our general philosophy--better call it a hope--that , even on the Web , some people will want to read articles in the traditional linear fashion--i . e .	PROC	RES	PROC	RES	RES	RES	RES	RES
aaaa	154	illustration	18	Other desirable ( or desired ) features might influence the purchase of a dictionary : according to a comparison chart provided by Random House , its dictionary has 800	illustrations	; Webster 's Ninth 600 + ; Webster 's New World 650 ; and Webster II Riverside 300 + .	RES	RES	PROC	RES	RES	RES	RES	RES
aaaa	442	instruction	56	As for the Turow , we had checked a box asking that each book be sent separately , as soon as possible--so , either Amazon ignored these	instructions	or it really needed the full 11 days to get the Turow to us .	RES	RES	PROC	DOT	RES	RES	RES	RES
aaaa	429	instruction	54	After treatments as indicated , LIVE / DEAD assays were performed following the manufacturer 's	instructions	( Molecular Probes ) .	RES	RES	DOT	RES	RES	RES	RES	RES
aaaa	386	reference	47	The point of departure of Rees 's book is literary	references	 , while that of the new Brewer is popular culture as reflected in catch-phrases .	RES	RES	RES	RES	PROC	RES	RES	RES
aaaa	250	invention	29	Diatoms , unicellular algae with ornate silica shells , have fascinated amateur and professional biologists ever since the	invention	of the microscope .	PROC	PROC	DOT	PROC	PROC	RES	PROC	PROC
aaaa	242	invention	28	Let us consider the writers whose	inventions	capture aspects of the presidential personality .	RES	RES	RES	DOT	RES	RES	RES	RES
aaaa	236	invention	27	In modern times the Sinai had become a backwater protected from the ravages of the modern world , and perhaps it would have remained one of the world s undiscovered spots if it hadn t been for one	invention	: Self Contained Underwater Breathing Apparatus ( SCUBA ) .	RES	RES	RES	RES	RES	RES	RES	RES
aaaa	220	invention	25	Your brother-in-law 's counsel will argue that you may have an	invention	 , but its name is not a trademark , because a trademark cannot be an ordinary word , particularly a descriptive one , if that word is used in its ordinary sense .	RES	RES	RES	RES	RES	RES	RES	RES
aaaa	212	invention	24	Another highlight of the last five centuries of geometry was the	invention	of non- Euclidean geometries ( 1823 - 1830 ) .	PROC	PROC	PROC	PROC	PROC	PROC	PROC	PROC
aaaa	202	invention	23	As a precautionary measure I consulted the menu , and there my eye fell on the vermicelles . I explained to my companions that this must be pasta , a kind of Continental macaroni ( in those days macaroni was about the only kind of pasta you ever saw in England , if we mercifully forget the incredible	invention	of spaghetti on toast ) .	RES	RES	RES	PROC	RES	RES	RES	RES
aaaa	194	invention	22	Therefore , universities have an incentive to advance the clinical development of	inventions	by their faculty .	DOT	PROC	RES	DOT	RES	RES	RES	DOT
aaaa	183	invention	21	If necessity is the mother of	invention	 , then its father is an inveterate tinkerer , with a large garage full of spare parts .	DOT	PROC	RES	PROC	PROC	DOT	PROC	DOT
aaaa	172	invention	20	Among its founders : Albert Boni , flush from his	invention	of the leather-bound edition of Shakespeare , so inspired a flash of marketing genius it was deemed worthy , by the candy manufacturer Whitman 's , of inclusion in every box of chocolate sold .	DOT	PROC	PROC	RES	PROC	PROC	PROC	PROC
aaaa	284	damage	33	First , Yeltsin 's surgeon suggested that the Russian president 's heart had suffered so much	damage	that it might not survive an urgently needed bypass operation .	RES	RES	RES	RES	RES	RES	RES	RES
aaaa	254	damage	30	Promiscuous recombination at this frequency , however , would result in significant	damage	to the cell .	RES	RES	PROC	PROC	RES	RES	RES	RES
aaaa	266	damage	31	For the moment , Clinton has largely succeeded in limiting the	damage	0	PROC	RES	RES	DOT	RES	PROC	RES	DOT
aaaa	315	damage	37	Nerve	damage	was also first observed in females .	RES	RES	PROC	PROC	RES	PROC	PROC	PROC
aaaa	292	damage	34	But the	damage	that has been done in the past few days is enormous . &#34	RES	DOT	RES	RES	RES	RES	RES	DOT
aaaa	299	damage	35	As well as incorporating spatial diversity and uncertainty , researchers are beginning to comprehend the ecological	damage	caused by different types of fishing gear .	RES	RES	RES	PROC	RES	PROC	RES	RES
aaaa	324	damage	38	Around the start of the 20 th century many of these works of art were removed to Catalan museums from churches that were deteriorating or abandoned , thus saving them from further	damage	or being sold out of the country .	PROC	PROC	RES	RES	RES	PROC	RES	PROC
aaaa	329	damage	39	However , the likely effect of the difference in light wavelength filtration on Mars versus the experiments described here would be the ultimate soil cover depth needed to protect spores from UV	damage	 , and this difference is likely not to be very large ( less than an order of magnitude ) .	DOT	RES	PROC	RES	RES	PROC	RES	RES
aaaa	316	discount	37	Since the models being used here are characterized by strong cross elasticities , it was necessary to develop a method of dealing with the shifting curves and with mailers that shift toward worksharing when the	discounts	increase .	PROC	RES	RES	RES	RES	PROC	RES	RES
aaaa	151	construction	18	Today , agencies increasingly rely on designbuild , 	construction	management , and program management contracting methods .	PROC	PROC	PROC	PROC	RES	RES	PROC	PROC
aaaa	300	discount	35	In fact , it makes perfect sense for	discount	airlines to be less safe than traditional full-price carriers .	DOT	RES	PROC	RES	RES	RES	RES	RES
aaaa	275	discount	32	Movie theaters have a certain amount of monopoly power ( on a given night , a given moviegoer is likely to have a strong preference for a particular movie at a particular theater ) , and they price discriminate by offering	discounts	to senior citizens ( which is equivalent to discriminating against everybody under the age of 65 ) .	PROC	RES	PROC	RES	PROC	RES	RES	RES
aaaa	285	discount	33	Overlapping frames are one of several gimmicks the ad maker uses to get around the fact that the spot was shot not on film but on videotape , which tends to look flat , metallic , too much like the local ads for	discount	stores and used-car lots .	DOT	RES	RES	RES	RES	RES	RES	RES
aaaa	255	discount	30	Some consumers browse in the comfortable atmosphere of Barnes &amp; Noble but then head home to buy their books from Amazon at	discount	prices .	DOT	RES	RES	RES	PROC	RES	RES	RES
aaaa	267	discount	31	&#34 Continue to give a 20 - percent	discount	on hardback books to unborn children . &#34	RES	RES	RES	RES	RES	PROC	RES	RES
aaaa	98	construction	12	The crane selected for a project will be determined as part of an overall	construction	plan developed to optimize all of the available resources - labor , material , and equipment - for a particular project .	PROC	PROC	PROC	PROC	PROC	RES	PROC	PROC
aaaa	109	construction	13	It is a great pity that the authors give so little space to plants and plant ecology , as it here that some of the finest examples of niche	construction	are found , as well as the best-developed conceptual framework for studying the roles of environmental feedback .	DOT	RES	PROC	RES	RES	RES	RES	RES
aaaa	81	construction	10	' However , since French compounds tend to be rather explicit , and their components are generally strung together by all kinds of grammatical particles ( conjunctions , prepositions , articles ) , this method often leads to tapewormish	constructions	 , such as espace extra-atmosphrique for ` outer space ' or boucle en pingle  cheveux for ` hairpin loop .	RES	RES	RES	RES	DOT	RES	RES	DOT
aaaa	88	construction	11	Except for brief flirtations with Victorian Gothic ( the Smithsonian ) and functionalist modernism ( the Air and Space Museum ) , Classicism has remained in fashion for federal buildings ever since the	construction	of the Palladian White House .	PROC	PROC	PROC	PROC	PROC	PROC	PROC	PROC
aaaa	133	construction	16	The Stoa of Attalos was a two-story	construction	with rooms at the back that housed small shops .	RES	RES	RES	RES	RES	PROC	RES	RES
aaaa	142	construction	17	The	construction	permit process requires that the facility prepare and submit the permit application to the applicable state or local regulatory agency .	DOT	PROC	PROC	RES	DOT	PROC	PROC	DOT
aaaa	118	construction	14	Subsequent to the	construction	of human-mouse-rat COGs and phylogenetic trees , the ' triplet test ' [ 17 ] was used to further ensure that the COGs of size 3 contained only orthologs .	PROC	RES	PROC	PROC	PROC	PROC	PROC	PROC
aaaa	330	discount	39	Democrat Eric Vitaliano , who has been a state-assembly member for many years , took credit for reducing the cost for Staten Island residents , who get	discounts	of up to 70 percent on the $ 7 round-trip toll ( and who can ride to Manhattan at no charge on the Staten Island Ferry ) .	RES	RES	RES	RES	RES	PROC	RES	RES
aaaa	322	approval	38	Peripheral blood was obtained from patients with RA , systemic lupus erythematosus ( SLE ) , and healthy control individuals following Drexel University Institutional Review Board	approval	and obtaining informed consent .	DOT	RES	RES	PROC	RES	PROC	RES	RES
aaaa	326	approval	39	But the paper 's top non-local story is the Senate 's	approval	of a $ 7 . 4 billion emergency aid package for farmers , which is a response not only to drought conditions but also to falling commodities prices .	DOT	RES	DOT	PROC	RES	RES	RES	RES
aaaa	313	approval	37	Included are documentation requirements ; authorizations for undertaking projects ; and reviews , testing , and	approvals	of development and modification activities before placing systems into operation .	PROC	DOT	RES	PROC	PROC	DOT	PROC	DOT
aaaa	290	approval	34	In addition to the traditional supervisors ' review and	approval	of the voucher , the primary compensating controls designed were the automated edits and computations to ensure that the travel claims complied with all requirements .	PROC	PROC	RES	PROC	PROC	PROC	PROC	PROC
aaaa	272	approval	32	I 'm asking you whether you did n't continue to send memoranda seeking	approval	of diversions or residuals , whatever the word .	DOT	RES	PROC	DOT	RES	PROC	DOT	DOT
aaaa	281	approval	33	Top daytime soap General Hospital spins off , to general	approval	0	PROC	RES	RES	RES	PROC	RES	RES	RES
aaaa	252	approval	30	The final rule contains collections of information which are subject to	approval	by the Office of Management and Budget ( OMB ) under the Paperwork Reduction Act .	PROC	RES	PROC	PROC	RES	PROC	PROC	PROC
aaaa	263	approval	31	Ronald Reagan used fast track to get congressional	approval	of tariff-reduction agreements with Israel and Canada .	RES	DOT	DOT	RES	RES	PROC	RES	DOT
aaaa	354	discount	42	In their hunger to acquire new customers , Net retailers have engaged in good old-fashioned price wars and have more generally made Net shoppers so accustomed to sizable	discounts	that paying anything close to retail feels like you 're being robbed .	RES	RES	RES	RES	PROC	RES	RES	RES
aaaa	335	discount	40	Shoppers are moving from suburbs to urban centers and buying online or from big	discount	chains .	DOT	DOT	RES	RES	RES	RES	RES	DOT
aaaa	382	discount	47	Because we 're committed to provide these education services , donations must be sought to off-set ticket	discounts	we give to students .	RES	RES	RES	PROC	RES	DOT	RES	DOT
aaaa	365	discount	44	The losses from giving the higher	discount	to all of the mailers that are already presorting are large and the savings from the additional presorting are small .	RES	RES	RES	RES	RES	PROC	RES	RES
aaaa	389	discount	48	Second , the level of the	discount	is held constant and similar estimates are made for the workshare market .	PROC	PROC	RES	RES	DOT	RES	RES	DOT
aaaa	488	construction	63	Other elements of FGD installations , such as	construction	equipment requirements , are typically modest , particularly given that systems are installed at the back end of the facility and close to the ground .	PROC	PROC	PROC	DOT	RES	RES	DOT	DOT
aaaa	480	construction	62	Yet , one does have the ( possibly romantic ) impression that even though grammar and usage were not properly learned , at least enough of a subliminal impression of them was retained by students to lead them to doubt a	construction	when they encountered it , driving them to check it in a Fowler or some other work .	RES	RES	RES	RES	PROC	RES	RES	RES
aaaa	473	construction	61	The draft	construction	permit is then made available for public comment .	PROC	PROC	RES	PROC	RES	PROC	PROC	PROC
aaaa	467	construction	60	The Turkish newspaper Hurriyet in effect charged	construction	authorities with , and international papers roundly condemned their shoddy building standards .	DOT	PROC	PROC	RES	PROC	PROC	PROC	PROC
aaaa	477	acquisition	62	The Air Force expects to buy 341 at a total	acquisition	cost ( development and procurement ) estimated at $ 69 .	DOT	PROC	RES	PROC	DOT	RES	DOT	DOT
aaaa	393	approval	49	The Washington Post leads with the U . S . 's	approval	of South Korea 's reforms .	PROC	DOT	PROC	RES	DOT	PROC	PROC	DOT
aaaa	350	approval	42	The deal requires further clarification and	approval	0	RES	RES	PROC	RES	PROC	PROC	PROC	PROC
aaaa	341	approval	41	Because the conduct of espionage was a high-risk activity , decisions on the clandestine targeting , recruitment , handling , and termination of secret sources and the dissemination of collected information required Washington 's	approval	and action .	RES	PROC	RES	RES	PROC	PROC	PROC	PROC
aaaa	333	approval	40	In manual systems , attestations , verifications , and	approvals	are usually shown by a signature or initial of an individual on a hard copy document .	RES	DOT	RES	PROC	PROC	RES	DOT	DOT
aaaa	379	approval	47	The papers all note that the choice met with the communists '	approval	and hence is likely to be approved by the parliament , possibly resolving the country 's leadership crisis .	RES	PROC	PROC	RES	RES	RES	RES	RES
aaaa	375	approval	46	The collections have been sent to OMB for	approval	and the requirement is not effective until approved by OMB and a control number is issued .	PROC	RES	PROC	DOT	RES	PROC	DOT	DOT
aaaa	368	approval	45	The final rule contains a revised information collection requirement which is subject to	approval	by the Office of Management and Budget ( OMB ) .	PROC	PROC	PROC	PROC	PROC	RES	PROC	PROC
aaaa	405	purchase	50	This contribution is enforced by trade agreements , which require the granting of patents to prevent free riding via the	purchase	of generic drugs ( see Box 1 ) .	RES	PROC	PROC	PROC	PROC	DOT	PROC	DOT
aaaa	407	purchase	51	Once you ve bought your copy of On the Road , cross Jack Kerouac Street and settle down with your	purchase	over a drink at Vesuvio s , another famous literary hangout .	RES	RES	RES	RES	RES	PROC	RES	RES
aaaa	417	purchase	52	One more note , as we leave the diaper department : An indispensable	purchase	is a Diaper Genie , a brilliant little contraption that is a vast improvement over the open diaper pail .	RES	RES	PROC	RES	RES	PROC	RES	RES
aaaa	443	purchase	56	His	purchase	of MCA was financially disastrous : The DuPont Corp . shares that he sold to buy the entertainment conglomerate have since gained $ 9 billion in value .	RES	PROC	RES	PROC	RES	DOT	DOT	DOT
aaaa	73	approval	9	A welldefined organizational structure and flow of work , appropriate separation of responsibilities , and clearly written policies and procedures governing purchase authorization , receipt of goods and services , and examination and	approval	of invoices for payment .	PROC	PROC	PROC	RES	RES	PROC	PROC	PROC
aaaa	464	purchase	59	At the risk of making a one-way trip to Rikers Island ( &#34 I must take the Fifth about my wine	purchases	 , senator &#34 ) , I spent a couple of weeks this summer surfing the Web for vino .	DOT	DOT	RES	PROC	DOT	RES	RES	DOT
aaaa	30	approval	4	USA Today and the Washington Post lead with the House and Senate	approval	of a $ 792 billion tax cut ( dispensed over 10 years ) .	PROC	PROC	DOT	RES	DOT	PROC	PROC	DOT
aaaa	11	approval	2	The State or local regulatory agency then reviews the application and issues a draft	approval	0	RES	RES	PROC	RES	RES	DOT	RES	DOT
aaaa	437	illustration	55	Many of the pages are not numbered , and a number of the callouts ( labels , that is ) on the	illustrations	are not even entered into the main text of the dictionary , to wit , number 8 , fly-half , nose tackle , tight end , wide receiver , safety , linebacker , cornerback , to name a few .	RES	RES	RES	RES	RES	RES	RES	RES
aaaa	428	illustration	54	An	illustration	of the effect of binding two molecules of Chl with enhanced affinity to a retention motif is shown in Fig .	RES	RES	RES	RES	RES	PROC	RES	RES
aaaa	448	illustration	57	Lose the dismal cover	illustrations	and return to having a lead review or cover essay .	RES	RES	RES	PROC	RES	RES	RES	RES
aaaa	422	illustration	53	We have seen the convenience of MCAR in the above	illustration	: simply use the completers and we get the same result .	RES	RES	RES	RES	RES	RES	RES	RES
aaaa	414	illustration	52	For purposes of	illustration	 , the same block of spots from a leg 1 disc-to-leg 3 disc scan is shown in Figure 7 a .	PROC	RES	PROC	PROC	PROC	PROC	PROC	PROC
aaaa	93	reference	11	Do you , as a former resident of New York City , miss the great headline-writing abilities of the staff of the New York Post ? They have an editorial today about the Brooklyn Museum of Art 's Giuliani-opposed exhibition of young British artists headlined &#34 One Stink-ular Sensation , &#34 a	reference	 , as I 'm sure you know , to Chris Ofili 's use of elephant dung , among other media , in his painting of the Virgin Mary .	RES	PROC	RES	DOT	RES	RES	RES	DOT
aaaa	463	illustration	59	A 1 . 9 MB graphic rendition suitable for use image and	illustration	programs .	PROC	PROC	PROC	RES	RES	PROC	PROC	PROC
aaaa	122	reference	14	Test review of a given effluent or receiving water test should include review of the associated	reference	toxicant test and current control chart .	DOT	RES	RES	DOT	RES	RES	RES	RES
aaaa	148	reference	17	A few months ago , a colleague wrote saying that he had encountered my mention of it but had been unable to find any	reference	in Dryden 's writings .	RES	RES	RES	RES	RES	RES	RES	RES
aaaa	139	reference	16	The consumer-centric &#34 long boom &#34 of the 1990 s seems utterly distant from the dry post-industrial world Bell describes , full of	references	to Weber , Rousseau , Locke , and Lenin .	RES	RES	RES	RES	RES	RES	RES	RES
aaaa	102	instruction	12	( The magazine revised its methodology to reward high spending on	instruction	. )	PROC	PROC	RES	DOT	RES	RES	RES	DOT
aaaa	112	instruction	13	If you have n't yet tried Slate Explorer , a new way to--well , to explore Slate , you can find out more about it and get	instructions	on how to download the free software by clicking here .	RES	PROC	PROC	RES	RES	RES	RES	RES
aaaa	137	instruction	16	Hybridization and washing was carried out according to the manufacturer	instructions	0	RES	RES	RES	DOT	PROC	RES	RES	DOT
aaaa	44	illustration	5	His Good-bye New York ( 1946 ) , the cover	illustration	for the exhibition catalog , has no urban feel at all , despite some free-floating girders and a row of neckties glimpsed at a Times Square stall .	RES	RES	RES	RES	RES	RES	RES	RES
aaaa	35	illustration	4	In the chapter on Typography , information that appears in an	illustration	( p . 730 ) is somewhat misleading , for the inference is that small capitals are the same height as x-high letters of a given font .	RES	RES	RES	PROC	RES	RES	RES	RES
aaaa	59	illustration	7	Everybody fronts an	illustration	of Charlie Brown , in honor of yesterday 's announcement that cartoonist Charles Schulz , aged 77 and ailing with cancer , will retire right after the first of the year .	RES	RES	PROC	RES	RES	RES	RES	RES
aaaa	5	illustration	1	Terry Jordan s book has an	illustration	of twelve different subtypes of wooden Latin crosses found on Mexican graves in Texas ( 78 ) .	RES	RES	RES	RES	RES	RES	RES	RES
aaaa	24	illustration	3	Darger produced a lot of his little-girl pictures by tracing comic strips or magazine	illustrations	( on occasion he cut pictures out and stuck them on the paintings directly ) .	RES	RES	RES	RES	PROC	RES	RES	RES
aaaa	15	illustration	2	For purposes of	illustration	 , suppose that p = . 005 , k = . 15 ( these values are based roughly on data from a colorectal cancer screening trial [ 4 ] ) , and d = . 001 .	PROC	RES	RES	PROC	PROC	PROC	PROC	PROC
aaaa	76	illustration	9	( Most British dictionaries have traditionally had no	illustrations	at all . )	RES	RES	RES	RES	RES	RES	RES	RES
aaaa	69	invention	8	Long before the	invention	of the clich user-friendly , that was an apt description of the Baugh , a work to be relied upon for substance , accuracy , readability .	PROC	RES	PROC	PROC	PROC	RES	PROC	PROC
aaaa	277	imitation	32	I wondered : What does it say when a gifted performer such as Myers sets out to make a &#34 bad &#34 movie , the kind of cheeseball ' 60 s Bond	imitation	that untalented people made by accident ?	RES	RES	PROC	RES	DOT	RES	RES	DOT
aaaa	6	invention	1	This bowdlerizing was the subject of extensive correspondence in the Guardian ( London ) bemoaning that the new edition had dropped the witty	invention	of earlier editions .	DOT	PROC	RES	PROC	DOT	RES	DOT	DOT
aaaa	17	invention	2	In a 1789 letter to Noah Webster , he pleaded : If you should happen to be of my opinion with respect to these	inventions	 , you will use your authority in reprobating them .	RES	RES	PROC	RES	RES	RES	RES	RES
aaaa	38	invention	4	Is he at the nexus of a right-wing conspiracy ? Or is this alleged right-wing conspiracy an	invention	of a left-wing conspiracy ?	RES	RES	RES	PROC	RES	PROC	RES	RES
aaaa	47	invention	5	But ever since mankind first took serious notice of bandwidth--ever since the	invention	of Morse code , that is--there has n't been enough of it .	PROC	RES	RES	RES	RES	PROC	RES	RES
aaaa	54	invention	6	The passage of the Bayh Dole Act in 1980 enabled universities to license	inventions	for commercial development [ 3 ] .	RES	RES	RES	RES	PROC	RES	RES	RES
aaaa	62	invention	7	On the contrary , respect for the capacity of the materials always wins out over daring visual	invention	 , but a staggering technical imagination has also been summoned .	DOT	PROC	PROC	RES	RES	PROC	PROC	PROC
aaaa	339	simulation	40	Two or three years ago , we could n't have done this	simulation	on a single-processor laptop , says one of its developers , physical engineer Bret Butler .	PROC	PROC	PROC	PROC	PROC	PROC	PROC	PROC
aaaa	358	simulation	42	Table 3 shows the clinicians ' response to the survey regarding the clinical usefulness of the LSTAT after completing four	simulations	0	PROC	RES	PROC	RES	PROC	PROC	PROC	PROC
aaaa	387	simulation	47	After the	simulations	were over , each volunteer clinician completed a survey about use of the LSTAT .	PROC	DOT	PROC	RES	PROC	RES	DOT	DOT
aaaa	399	simulation	49	In summary , for the	simulation	models considered here , Clest was the most robust and accurate , whereas hart performed worst .	DOT	DOT	DOT	PROC	PROC	RES	PROC	DOT
aaaa	476	reference	61	It includes a number of moving stories about wartime heroism that can be appreciated without	reference	to its argument , which is pretty much superfluous .	DOT	RES	PROC	RES	PROC	PROC	PROC	PROC
aaaa	493	reference	63	This search yielded 56 relevant published articles ( a sample of these studies is included in the	references	) which were read by the lead author to generate other potential questions patients might have .	RES	RES	RES	RES	PROC	RES	RES	RES
