sentenceid	globalindex	lemma	lemmaindex	leftcontext	headword	rightcontext	gs_expert	C1	C2	C3	C4	C5	VOTE	MACE
fffff	196	London	26	Which is why it 's surprising that the LAT commits the unclarity of saying that the earlier cease-fire &#34 ended without warning in February , 1996 with a	London	truck bomb that killed two people , &#34 without mentioning that the explosion was attributed to the IRA .	LOC	LOC	LOC	LOC	ORG	ORG	LOC	LOC
fffff	203	London	27	Since the early 18 th century , when George Friedrich Handel struggled to keep a company going in	London	 , opera has been sustainable only with the help of subsidies--whether from aristocrats , governments , or corporate benefactors .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	179	London	24	Tufte 's inclusion of John Snow 's famous map of the 1854 cholera epidemic in	London	is a case in point : Snow 's street-by-street tracking of cholera deaths pointed unmistakably to the culprit--the water coming out of the Broad Street pump .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	216	London	28	Half the pleasure of this lovely town dramatically perched on a rocky precipice is a first glimpse of it from afar ( not so very different today from Turner s 1828 painting in	London	s Tate Gallery ) .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	219	London	29	First , the word is not vagzal but vokzal . Second , it was not adopted from the name of Vauxhall railway station , 	London	0	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	3	Boston	1	1 , 2 - 14 C polyethylene glycol ( MW 4000 Dalton ; 9 . 3 MBq / mmol , NEN Research Products , 	Boston	 , MA ) , a marker substance not subject to carrier-mediated transport and with a very low diffusion coefficient , was added to these solutions to account for 3 H- radiotracer in the adherent fluid .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	55	Africa	8	If the ancient Romans were to meet up with Latin letters in modern central	Africa	 , Micro- or Indonesia would be flummoxed for certain !	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	88	Canada	12	Published coding error rates relating to diabetes in	Canada	could not be identified .	LOC	LOC	LOC	LOC	LOC	ORG	LOC	LOC
fffff	80	Canada	11	The British North America Act of 1867 created the Dominion of	Canada	0	ORG	ORG	ORG	LOC	ORG	ORG	ORG	ORG
fffff	39	Africa	5	The history of many European countries is such that Europe has much stronger ties with	Africa	than does the United States , so it makes political sense for the European Union to fund research that provides a springboard for European researchers to compete effectively with US scientists .	ORG	LOC	ORG	ORG	DOT	ORG	ORG	ORG
fffff	123	Canada	17	In	Canada	 , the National Post reported Thursday on a commemoration ceremony for the 229 people who died last Sept . 2 when Swissair Flight 111 crashed in St . Margaret 's Bay , Nova Scotia .	LOC	ORG	LOC	LOC	LOC	LOC	LOC	LOC
fffff	213	China	28	Visitors need a visa to enter	China	 , and must disembark at the border ( now called boundary ) checkpoint , Lo Wai .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	221	China	29	Hardly had the groundwork been laid when	China	entered the Korean War , sending volunteers to fight against American-led United Nations forces .	ORG	ORG	DOT	ORG	ORG	ORG	ORG	ORG
fffff	107	Canada	15	Treasury Board of	Canada	Secretariat- www . tbssct . gc . ca	DOT	ORG	ORG	LOC	DOT	ORG	ORG	ORG
fffff	160	China	22	The WP describes Clinton 's trip to	China	 , continuing today with a community leaders ' roundtable in Shanghai and an appearance on a radio call-in show ( wonder how long the delay is ) , as an &#34 experiment in diplomacy as personal performance , &#34 referring to the familiar campaign stump style Clinton used in two talks on Chinese national television .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	147	China	20	Madeleine Albright journeyed to	China	for the first time since the Belgrade embassy bombing but barely mentioned the crackdown .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	104	Canada	14	In an editorial Monday , it criticized	Canada	and the United States for paring down foreign aid at a time when poverty was growing in the sub- Saharan region .	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	197	China	26	The NYT and WP run inside stories reporting that according to a human rights group , a recent crackdown by	China	against Protestant congregations that do not formally accept the leadership of the government has resulted in the arrest of seventy church members .	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	201	China	27	Although a royal spokesman said later that Charles intended no snub to	China	but was bound by an earlier engagement , the paper said the prince was &#34 motivated by his admiration for the Dalai Lama , whom he has met at least twice in defiance of Government policy . &#34	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	188	China	25	Pat Buchanan appeared on both CNN 's Late Edition and Fox News Sunday to advocate punishing	China	for its human-rights violations , high trade barriers , and arms sales to rogue nations such as Iran .	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	96	Germany	13	The Axis powers rolled in and carved up the region : Albania 's Fascist government , headed by a puppet of Mussolini 's , seized the biggest chunk , while Bulgaria and	Germany	each occupied a strip .	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	90	Germany	12	Grass ' sarcasm is a welcome respite from the heavy-handed literalism of so much contemporary Holocaust narrative , from the 1979 television series Holocaust ( another mass catalyst for German self-awareness ) to Schindler 's List to the odious Jakob the Liar . And yet , for all of Grass ' rage at	Germany	's crimes , the fact that The Tin Drum rarely names those crimes or explores their existence , and seems so focused on the souls of the Germans , with little empathy to spare for their victims , makes the book feel more like a step on the way to something than like the thing itself--whether that thing be a more moral or simply a greater work of literature .	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	78	Germany	11	rabbit anti-p 65 polyclonal ( Rockland , 	Germany	) and goat anti-rabbit horseradish peroxidase conjugated antibody ( Sigma ) were used as primary and secondary antibody respectively at a 1 : 1000 dilution .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	75	Germany	10		Germany	is dragging down the euro , but both might rebound because the new government is deregulating , unions are learning accommodation , and a cheaper euro may boost exports .	ORG	DOT	ORG	ORG	ORG	ORG	ORG	ORG
fffff	125	Germany	17	We compared the present results with data in a previously published tabulation of A and B haplotypes which occurred with significantly greater frequency in hemochromatosis patients than in corresponding control patients ; data were available from	Germany	 , Denmark , Sweden , Brittany , Portugal , Italy , Australia , and Utah ( Table 5 ) [ Additional file 3 ] [ 16 ] [ 31 ] . Frequencies of the A * 03 - B * 07 haplotype were increased in all hemochromatosis patient groups .	LOC	LOC	ORG	LOC	LOC	ORG	LOC	ORG
fffff	116	Germany	16	In	Germany	Monday , the Frankfurter Allgemeine Zeitung called the move &#34 Yeltsin 's coup &#34 but added in a front-page comment that the next few days would show whether Yeltsin has only been acting on whim or whether there 's a strategy behind it .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	110	Germany	15	Zimmermann 's reputation in	Germany	is said to be excellent .	LOC	LOC	DOT	LOC	ORG	ORG	DOT	ORG
fffff	103	Germany	14	In	Germany	 , the Frankfurter Allgemeine Zeitung led Friday on a UNICEF report that more children are now born in poverty than ever before , and the paper discussed the growing AIDS catastrophe in Africa , where 21 million people are infected with the disease .	LOC	ORG	LOC	LOC	LOC	LOC	LOC	LOC
fffff	139	Germany	19	The &#34 Group of Eight &#34 ( the United States , Britain , Canada , France , 	Germany	 , Italy , Japan , and Russia ) approved &#34 general principles on	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	307	Europe	40	However , in December 2002 , it emerged that these two populations are of different mating types- A 1 in	Europe	and A 2 in the US .	LOC	LOC	LOC	LOC	LOC	ORG	LOC	LOC
fffff	311	Europe	41	In order to understand his ambiguous image , compare him with	Europe	s heroic crusaders who went on the rampage at about the same time .	DOT	ORG	LOC	LOC	ORG	ORG	ORG	ORG
fffff	336	Europe	44	The West must start a moral crusade to excise &#34 the cancer of ethnic conflict &#34 by rebuilding the Balkans , strengthening the economies of southeastern	Europe	 , and eventually welcoming some more states into NATO .	DOT	DOT	LOC	ORG	ORG	DOT	ORG	DOT
fffff	354	Europe	46	In Italy , La Repubblica said that Schrder will automatically assume the leadership of the social democratic governments in	Europe	( which include those of France , Britain , and Italy ) because of Germany 's &#34 dominant weight . &#34	LOC	ORG	ORG	LOC	LOC	ORG	ORG	ORG
fffff	360	Europe	47	In	Europe	 , the holiday mood was beginning to take control of the press , though it was generally devoid of any spirit of peace or goodwill .	LOC	LOC	LOC	LOC	LOC	ORG	LOC	LOC
fffff	364	Europe	48	To that	Europe	 , Gallant brought a new bemused realism and an acquaintance with such petty facts as train schedules and plumbing .	DOT	ORG	DOT	ORG	ORG	LOC	ORG	ORG
fffff	372	Europe	49	After World War II , its use in	Europe	was dramatically scaled back , probably because of the increased awareness of humanitarian concerns prompted by the Holocaust .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	395	Boston	52	While a few organizations have what are perceived as &#34 best-of-breed &#34 information systems ( LDS Hospital and Intermountain Health Care in Salt Lake City , Wishard Memorial Hospital and its affiliated clinics in Indianapolis , and Brigham and Women 's Hospital and Partners HealthCare System in	Boston	 , MA ) , [ 7 8 9 ] the reliability of these systems is nothing like that offered by the systems of companies outside of healthcare , for example Federal Express [ 10 ] . These organizations all have had good financial performance , which has given them an edge in their local markets , though their goal has not been to spread .	LOC	LOC	LOC	DOT	LOC	LOC	LOC	LOC
fffff	407	Boston	54	Call United Airlines- Tell them it 's Flight 175 , 	Boston	to LA . &#34	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	441	Boston	59	MTV and the Comedy Channel routinely run the spots , but most network affiliates outside three markets (	Boston	 , Seattle , and Chico , Calif . ) have refused so far to show them .	DOT	LOC	LOC	LOC	DOT	LOC	LOC	LOC
fffff	20	London	3	The father of Dodi Fayed , who died with Princess Diana in a car crash in Paris last summer , told	London	's Daily	DOT	DOT	LOC	LOC	ORG	ORG	DOT	ORG
fffff	370	Afghanistan	49	KSM and Binalshibh have confirmed that several of the 9 / 11 hijackers ( at least eight , according to Binalshibh ) transited Iran on their way to or from	Afghanistan	 , taking advantage of the Iranian practice of not stamping Saudi passports .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	327	Afghanistan	43	For a review of ISAF 's role , see NATO report , &#34 NATO in	Afghanistan	 , &#34 updated July 9 , 2004 ( online at www . nato . int / issues / Afghanistan ) .	LOC	ORG	LOC	LOC	ORG	LOC	LOC	LOC
fffff	320	Afghanistan	42	Shehhi left for	Afghanistan	around the same time ; Binalshibh , about two weeks later .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	313	Afghanistan	41	He returned to	Afghanistan	0	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	304	Afghanistan	40	In the meantime , the CIA continued to work with its tribal assets in southern	Afghanistan	0	LOC	LOC	LOC	ORG	LOC	LOC	LOC	LOC
fffff	357	Afghanistan	47	On Omar 's opposition , see , e . g . , Intelligence report , interrogation of detainee , May 30 , 2002 , in which the detainee says that when Bin Ladin returned after the general alert during July , he spoke to his confidants about Omar 's unwillingness to allow an attack against the United States to originate from	Afghanistan	0	LOC	LOC	LOC	LOC	DOT	LOC	LOC	LOC
fffff	351	Afghanistan	46	Despite substantial evidence to the contrary and his own assertion that Bin Ladin arrived in	Afghanistan	with no money , KSM has told his interrogators that he believes the bulk of the money ( 85 - 95 percent ) for the planes operation came from Bin Ladin 's personal fortune .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	340	Afghanistan	45	It is unlikely that Bin Ladin could have returned to	Afghanistan	had Pakistan disapproved .	LOC	LOC	LOC	LOC	DOT	ORG	LOC	LOC
fffff	332	Afghanistan	44	Though continuing to worry about Iraq in the following week , Powell said , President Bush saw	Afghanistan	as the priority .	DOT	LOC	ORG	ORG	ORG	ORG	ORG	ORG
fffff	209	California	28	The population of	California	did not grow much during the eighteenth century , and after the independence of Mexico from Spain in 1821 , Spanish culture quickly declined in the region .	DOT	LOC	LOC	LOC	ORG	DOT	LOC	LOC
fffff	446	Europe	59	The 16 th-century church is a rare ecclesiastical building by Andrea Palladio , the master Renaissance architect from nearby Vicenza whose classic designs have so dominated aristocratic residential architecture throughout	Europe	and North America .	LOC	LOC	LOC	LOC	ORG	LOC	LOC	LOC
fffff	167	California	23	In 1994 , 71 % of the live births to white women were to mothers aged 30 years and over in Marin County , as compared with 46 % in	California	[ 14 ] . In addition , 69 % of all women aged 55 - 64 years and 47 % of all women aged 45 and over reported using hormone replacement therapy as part of a community health survey conducted in Marin County in 2001 ( RRE , unpublished data , 2002 ) although comparable figures are not available for the state .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	318	America	42	The former is noir camp , another acid- and amphetamine-soaked foray into Oliver Stone 's	America	 , full of pixilated brutality and meaningless montage ( fractured zooms , black-and-white scudding clouds , close-ups of carrion and stuffed mountain lions ) .	DOT	DOT	ORG	ORG	ORG	ORG	ORG	ORG
fffff	200	California	27	The LAT 's &#34 Column One &#34 tells of what it calls the abortion debate 's cause celebre , the first murder prosecution of an abortion doctor in	California	in nearly twenty years .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	174	California	24	Hazmi and Mihdhar used their true names to obtain	California	driver 's licenses and open New Jersey bank accounts .	DOT	LOC	LOC	ORG	ORG	ORG	ORG	ORG
fffff	67	London	9	The Times of	London	 , another anti- Clinton paper , splashed the headline &#34 Clinton : The Great Escape &#34 across its front page and said in an editorial ( &#34 Suspended Sentence &#34 ) that a &#34 revival in Mr . Clinton 's standing can only be achieved through foreign policy , &#34 which will require a huge investment of his time for uncertain returns .	DOT	ORG	LOC	LOC	ORG	ORG	ORG	ORG
fffff	60	London	8	Monday , markets in Tokyo , 	London	 , and elsewhere prohibited the trading of specific stocks .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	291	Afghanistan	38	A photo essay , &#34 In Praise of Women , &#34 features shots of impoverished or oppressed women in	Afghanistan	 , Africa , and Haiti , with lushly worded captions .	LOC	LOC	LOC	LOC	LOC	ORG	LOC	LOC
fffff	276	Afghanistan	36	When he arrived in	Afghanistan	 , they controlled much of the country , but key centers , including Kabul , were still held by rival warlords .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	284	Afghanistan	37	to cut off all shipments of fuel to the Taliban and stop recruits from going to	Afghanistan	; and , 	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	258	Afghanistan	34	Looking to	Afghanistan	 , where the hostages are being held on an airstrip , an editorial in the Hindu concluded , &#34 If the Taliban wants to end its international isolation and move towards a partial lifting of sanctions , it must be seen playing a positive role in bringing this negotiation on its home turf to a successful conclusion . &#34	LOC	LOC	DOT	LOC	LOC	LOC	LOC	LOC
fffff	264	Afghanistan	35	Looking back in 2004 , he equated the presidential directive with a readiness to invade	Afghanistan	0	LOC	LOC	LOC	DOT	LOC	LOC	LOC	LOC
fffff	241	Afghanistan	32	Before it was canceled , Schroen described it as the &#34 best plan we are going to come up with to capture [ Bin Ladin ] while he is in	Afghanistan	and bring him to justice . &#34	LOC	LOC	LOC	LOC	LOC	ORG	LOC	LOC
fffff	225	Afghanistan	30	Atta was to provide Binalshibh with advance notice of at least a week or two so that Binalshibh could travel to	Afghanistan	and report the date personally to Bin Ladin .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	232	Afghanistan	31	The deputy chief for operations of CTC , &#34 Henry , &#34 told us that going into the	Afghanistan	sanctuary was essential .	LOC	DOT	LOC	LOC	LOC	LOC	LOC	LOC
fffff	298	England	39	In	England	 , left-wing British playwright Harold Pinter has pronounced the bombing &#34 misjudged , miscalculated , disastrous , &#34 and conservative historian Niall Ferguson scoffs at the campaign 's inadequacy in a Financial Times op-ed ( &#34 Bleeding Hearts and Bloody Messes &#34 ) .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	471	Canada	62	I never like to leave	Canada	 , because I 'm disappointed every time .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	475	Canada	63	[ 6 ] Presumably , the rates for New York State and	Canada	would be higher if only men were included .	DOT	LOC	LOC	LOC	ORG	ORG	LOC	LOC
fffff	249	England	33	Once it was known that the attack had been repelled , a gift of wine was sent out to Nelson (	England	was , after all , an important wine market ) and a street was named Calle de Horacio Nelson in his honor !	DOT	LOC	ORG	LOC	ORG	DOT	DOT	ORG
fffff	465	Canada	61	Given the sources for this estimate , it could be argued that it does not accurately reflect the cost of diabetes for	Canada	0	ORG	ORG	ORG	ORG	DOT	ORG	ORG	ORG
fffff	268	England	35	Embraced by green wooded escarpments and backed by snow-capped Alps , the lake favored by some of	England	s most romantic 19 th-century poets - Wordsworth , Shelley , and Byron - retains a certain wistful atmosphere for the leisure hours of the Milanese ( it s less than an hour from Milan by train or car ) .	LOC	LOC	ORG	ORG	ORG	LOC	ORG	ORG
fffff	256	England	34	Upon receiving the proposal , he asks	England	's bishops several times to give him a clear justification for the invasion , which will necessarily entail the deaths of thousands of men .	DOT	LOC	LOC	ORG	ORG	ORG	ORG	ORG
fffff	280	England	36	As far as I know , the problem has been solved in	England	by a creating another offence , less serious , with lower penalties , driving and taking away .	LOC	LOC	ORG	LOC	LOC	LOC	LOC	LOC
fffff	164	Europe	23	Instead , it has caused a larger exodus of refugees and seriously devastated stability and peace in the Balkans and even	Europe	. &#34	DOT	LOC	LOC	LOC	LOC	ORG	LOC	LOC
fffff	126	China	17	In Hong Kong , the South China Morning Post ran an editorial congratulating Clinton for his role in	China	's decision to send Tiananmen Square hero Wang Dan into exile in the United States .	ORG	ORG	ORG	ORG	LOC	ORG	ORG	ORG
fffff	447	Germany	59	In a sprightly New York Times essay last year about collecting , Michael Kimmelman noted that in	Germany	during the 16 th century there proliferated Kunst- und Wunderkammern , &#34 art and wonder cabinets &#34 containing curiosities of all kinds :	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	435	Germany	58		Germany	's Frankfurter Allgemeine later reported on the summit under the headline &#34 In Rome Kohl Calms Anti- German Waves , &#34 but it also quoted at length from an article in Rome 's La Repubblica suggesting that sharp differences between Germany and Italy about the single European currency--the euro--might become &#34 permanent . &#34	DOT	LOC	ORG	DOT	ORG	ORG	ORG	ORG
fffff	430	Germany	57	Shehhi first entered	Germany	in April 1996 .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	424	Germany	56	This incongruity is particularly striking since in England especially ( but also in France and	Germany	) , the Gothic style was considered a homegrown product-as opposed to Mediterranean Classicism .	LOC	LOC	ORG	LOC	LOC	LOC	LOC	LOC
fffff	418	Germany	55	01 M - 1 mM final concentration ) or vehicle ( LPS-free water ) and 10 l of the tetrazolium salt WST-obtained from Roche Diagnostics Gmbh ( Mannheim , 	Germany	) .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	411	Germany	54	The eyes of CBA / CaJ and BALB / cJ mice were also fixed and processed for plastic embedding ( Historesin , Leica , Heidelberg , 	Germany	) , and sectioned as previously reported [ 14 79 ] . Saggital sections including the pupil and optic nerve were collected and analyzed as they contain most ocular structures .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	405	Germany	53	Reports that Atta was in the Prague airport on May 30 - 31 , 2000 , and that he was turned back because he lacked a visa appear to be a case of mistaken identity : a Pakistani traveler with a name similar to Atta 's attempted to enter the Czech Republic from Saudi Arabia via	Germany	but was forced to return to Germany because he lacked a valid Czech visa .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	392	Germany	51	Buchanan further argues that after	Germany	's loss in the Battle of Britain in 1940 , the United States was safe , and thus Roosevelt , who inveigled the country into war , is at fault for the 400 , 000 American lives lost .	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	381	Germany	50	An exhibition of von Hagens ' work has toured Japan and	Germany	 , and protesters have called it an affront to human dignity--which the German Constitution requires citizens to preserve .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	100	Boston	14	um-hum um Atlanta 's horrible yes have we have a lot of people moving here from	Boston	and and different areas and from talking to them they 're shocked	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	122	Boston	17	 , Little , Brown , 	Boston	 , 1955 .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	112	England	15	Yet again a minor - the infant James V - succeeded to the throne , and Scots nobles were divided as to whether Scotland should draw closer to	England	or seek help from her old ally , France .	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	77	Boston	11	Nothing in	Boston	can match the beauty of the courtyard in the Isabella Stewart Gardner Museum .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	120	Afghanistan	17	Success was to be defined as the exfiltration of Bin Ladin out of	Afghanistan	0	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	488	London	64	Anyone laboring under the delusion that English is not an acquisitive language should be disabused by the following caption from an article about delicatessens that appeared in the Magazine Section of The Sunday Times [	London	] , 7 January 1989 : [ Foreignisms are so set in the original .	LOC	LOC	LOC	LOC	ORG	ORG	LOC	LOC
fffff	495	London	65	The first pair to arrive were Waleed al Shehri ( Flight 11 ) and Satam al Suqami ( Flight 11 ) , who flew from the UAE to	London	and arrived in Orlando on April 23 , 2001 , where Atta most likely met them .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	473	London	62	La Repubblica of Rome published an interview Sunday with Sheik Omar Bakri , described as Osama Bin Laden 's spokesman in	London	0	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	481	London	63	He ran through several careers during his 20 s--art dealer in the Hague , schoolteacher in	London	 , missionary to coal miners in southern Belgium--before settling on the least secure one of painter .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
