sentenceid	globalindex	lemma	lemmaindex	leftcontext	headword	rightcontext	gs_expert	C1	C2	C3	C4	C5	VOTE	MACE
cmxgabjou	10	hog	1	 Landis Valley Museum will present volunteers for the Landis Valley Cookbook Committee&#44in traditional dress&#44demonstrating the various steps to preparing a	hog	for consumption . 	DOT	DOT	MEAT	MEAT	MEAT	DOT	MEAT	MEAT
poaxomjlw	11	lamb	1	 While I 'd rather be discussing your superb piece in this morning 's Times on the limits of online grocery shopping ( so that 's why we did n't have	lamb	shanks for dinner . . . ) 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
eurwptaks	12	lobster	1	 But if this is the general future of food&#44I 'll have the	lobster	0	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
waxlfswqh	13	mackerel	1	 The town has a picturesque working harbor&#44where small&#44brightly painted fishing boats bob&#44and larger vessels haul in daily catches of lobster&#44eel&#44and	mackerel	0	DOT	ANIMAL	MEAT	DOT	DOT	DOT	DOT	DOT
nmuwgspbc	14	octopus	1	 Although the Mediterranean Sea is rather overfished and the waters are not warm enough to support brightly colored tropical fish&#44there are still numerous varieties to spot in the rocky shallows&#44including	octopi	that make their homes in tiny crevices . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
ndjnlpqhn	15	ostrich	1	 In South Africa&#44which recently banned Hong Kong chickens&#44the Johannesburg Star reported that a woman had been &#34 trampled and kicked &#34 to death by an	ostrich	at a farm near Cape Town while her husband&#44already badly injured by the same bird&#44lay helplessly by &#34 for hours &#34 on a dirt road . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
atovtotaw	16	oyster	1	 ( She does n't mention noticing any	oysters	. ) 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
qjfahdqbr	17	pheasant	1	 It might pass for deserted&#44if not for the peacocks and	pheasants	who inhabit the botanical gardens&#44and the visitors strolling amidst the palms and rhododendrons . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
xhaiqikqx	18	pigeon	1	 Old men sell bags of corn for you to feed to the	pigeons	&#44 while brightly dressed water-sellers tout for business with cries of buz gibi ! 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
rxvregfso	19	quail	1	 But when he ate well he ate it all up and said&#44&#34 My heavens&#44this ragout of	quail	is simply delicious . &#34 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
svgozwkie	20	salmon	1	 Fishermen come for the trout&#44grayling&#44and lake	salmon	0	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
jyrpmsqyu	21	sardine	1	 A plate of grilled	sardines	&#44 prawns&#44or squid and a bottle of house wine make a fantastic meal&#44and the prices are about as low as anywhere along the coast . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
vgbfbgkmf	22	squid	1	 Note the colorful stands of dried fish and fresh fish&#44colorful pickles&#44stout young bamboo shoots&#44chicken wings and breasts arranged in elaborate patterns&#44and a whole cornucopia of	squid	&#44 mussels&#44oysters&#44and giant scallops . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
iultozfxj	23	trout	1	 In the creeks and lakes&#44you ll find an abundance of	trout	- rainbow&#44brook&#44brown&#44cut-throat&#44and red-spotted Dolly Varden - as well as whitefish&#44char&#44and bass . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
ioebcneso	24	tuna	1	 A number of	tuna	biologists have expressed concern that these omissions have left the mistaken impression that all tuna species are among the list of declining predators ( Hampton et al 2003 ) . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
ypmogykam	25	whale	1	 Farther along Middle Road a small lane leads to West	Whale	Bay&#44a small body of water that got its name from the whales that were slaughtered here in years gone by . 	ANIMAL	DOT	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
dxprlhaml	26	bison	2	 This allowed Cooper and his colleagues to trace the changes in the	bison	genetic diversity from 150&#44000 years ago to the present . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
evycsuhyu	27	carp	2	 The Karnali gorge above Chisopani is especially beautiful and is noted for the size of the fighting mahseer	carp	taken by sport fishermen . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
lyxjpmrmw	28	chicken	2	 If you feel a little peckish after all that action&#44you can feast on the boysenberry pies and	chicken	dinners with which Mrs . Knott started up her business over 50 years ago . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
wjrgxnwpc	29	clam	2	 You can buy fresh	clams	and oysters&#44which can be shucked for you to eat as you go . 	DOT	MEAT	DOT	MEAT	MEAT	MEAT	MEAT	MEAT
fexrihbca	30	cod	2	 The town of Gasp makes its livelihood from fishing -	cod	and herring . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
waieareek	31	cow	2	 Meanwhile&#44the CEO of another company&#44Advanced Cell Technology&#44testified that by putting the nucleus of an adult human cell into a	cow	's gutted egg cell&#44his researchers had converted it into an embryonic human cell&#44which presumably could be manipulated in the same way . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
valpgfeaw	32	duck	2	 Although this results in a &#34 cute &#34 pet&#44it is a disaster to the	duck	because it looks to people for its normal social interaction&#44even the most intimate kind . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
xkxmqhcnw	33	goose	2	 Among the more than 300 different species of birds here&#44you ll find eagles&#44cranes&#44pelicans&#44snakebirds&#44kingfishers&#44and a host of ducks and	geese	&#44 as well as a flock of rare wintering Siberian cranes between January and March . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
rxzbuwklt	34	hog	2	 John Hargerla of the National Pork Producers Council hopes people buy the other white meat because it 's good&#44not just because	hog	prices have plunged . 	ANIMAL	ANIMAL	MEAT	ANIMAL	MEAT	MEAT	MEAT	MEAT
cctossvpn	35	lobster	2	 I know I 've left you notes about the others being too small&#44which means the	lobster	shells and fish juices spill over and mix with the chewing gum and pasta in the bottom of the can . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
vbfrsyvqw	36	mussel	2	 You re unlikely to see a boat coming in from another continent&#44but you are guaranteed the hustle&#44bustle&#44sights&#44smells&#44and sounds of one of the Olho fish market&#44one of the Algarve s best ( the town is especially famous for its	mussels	and other shellfish ) . 	MEAT	MEAT	MEAT	MEAT	ANIMAL	MEAT	MEAT	MEAT
njrgxwypc	37	octopus	2	 The	Octopus	Toss : In celebratory moments&#44fans of the Detroit Red Wings throw real octopuses onto the ice . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
txmeymjrb	38	ostrich	2	 You ll see rhinos &#44	ostriches	&#44 and antelopes living happily in the Reserva Africana&#44a small safari park near Cala Millor on Mallorca s east coast . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
zlwabktds	39	oyster	2	 Note the colorful stands of dried fish and fresh fish&#44colorful pickles&#44stout young bamboo shoots&#44chicken wings and breasts arranged in elaborate patterns&#44and a whole cornucopia of squid&#44mussels &#44	oysters	&#44 and giant scallops . 	ANIMAL	ANIMAL	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
oaenhvxaw	40	pheasant	2	 Carr explained that farm-bred dizzy	pheasants	mean more kids get to kill a bird . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
fklnoobgf	41	pigeon	2	 Dam is a wide cobbled square&#44usually filled with people and	pigeons	&#44 and dominated by the ornate faade of the Koninklijk Paleis ( Royal Palace ) which dates from 1655 . 	ANIMAL	MEAT	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
jfeflyhzn	42	salmon	2	 The consequent 90 percent reduction of the annual sockeye	salmon	catch was remedied only 30 years later when multimillion-dollar steel-and-concrete channels were built for the fish . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
kaimajmrb	43	tuna	2	 95 you paid yourself today to open up a can of	tuna	fish and toast two pieces of bread rather than buying a sandwich from the local deli . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
yxhbknmeq	44	turkey	2	 Grilled in foil or alongside a ham &#44	turkey	or chicken&#44those who shied away from onions before will delight in their new found vegetable . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
jxoqnpwvb	45	yak	2	 Well&#44take a spin through the spectacular photo gallery ( courtesy Inside China Today ) of furry	yaks	&#44 isolated desert tents&#44and the Dalai Lama 's summer home . . . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
ypguoxorp	46	bull	3	 Europa little suspects that the	bull	is really Jupiter&#44about to run off and have his way with her . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
kfvfphfwi	47	catfish	3	 Since I lived in South Florida&#44where real tropical exotica abound ( poisonous toads&#44walking	catfish	&#44 two-foot-long green lizards from Cuba&#44etc . ) it was easy to flummox visitors . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
kzpskgaop	48	cow	3	 The imperial administration for this undertaking demanded a huge bureaucracy&#44with superintendents&#44accountants&#44and clerks overseeing commerce&#44forestry&#44armory&#44weights and measures&#44goldsmiths&#44prostitutes&#44ships &#44	cows	and horses&#44elephants&#44chariots&#44and infantry . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
kpfpwtejd	49	crayfish	3	 This fascination became a legitimate area of scientific inquiry in 1712&#44when the French scientist Ren- Antoine Ferchault de Raumur published his seminal work on	crayfish	limb and claw regeneration ( Raumur 1712 ) . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
zfwqmdnxa	50	eel	3	 The pool in the Wektu Telu temple is the home of big plump	eels	&#44 overfed on offerings of boiled eggs which are conveniently sold by vendors at the gate . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	DOT	ANIMAL	ANIMAL
uygktcajw	51	lobster	3	 Pick out	lobster	and truffles&#44and the food stamps are worth $ 20 . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
tlkhdhidl	52	mackerel	3	 In addition&#44there are offshore expeditions for smaller fry such as tarpon&#44sea bass&#44and	mackerel	0	MEAT	ANIMAL	MEAT	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
hhzaaacuh	53	octopus	3	 At times&#44more than 50	octopuses	rain down at once . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
xxtobgljg	54	oyster	3	 The Atlantic provided a gourmet diet of	oysters	&#44 clams&#44and lobster&#44and the rivers teemed with salmon&#44eel&#44smelt&#44and sturgeon . 	MEAT	MEAT	MEAT	MEAT	MEAT	DOT	MEAT	MEAT
bebpqvxmv	55	pigeon	3	 I also watched a boy in Lucca try to run over	pigeons	with his bike . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
pfpqxjsnu	56	prawn	3	 On a more mundane contemporary level&#44the most popular Nagasaki lunch is a solid&#44nourishing bowl of chanpon : Chinese noodles in a tangy fish broth laden with a cornucopia of mushrooms&#44fish &#44	prawns	&#44 vegetables&#44and other goodies . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
cbapdlcpo	57	rabbit	3	 To establish optimal injection conditions for particle bombardment&#44six	rabbits	were injected at a total of 12 sites per rabbit with pHCMVIE 1 - luciferase and euthanized 48 h later . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
fidnewxxv	58	rooster	3	 The island s main town&#44Dunmore Town&#44is a cluster of narrow streets lined by clapboard houses festooned with bougainvillea ; handsome	roosters	strut here and there in the undergrowth . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
lehkclscu	59	salmon	3	 It 's true that El Nio afflicts the West and Gulf Coasts with nasty winters&#44and that it decimates the	salmon	population . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
joxsjhpqv	60	sardine	3	 It will take you to the dockside&#44lined with simple restaurants&#44one after the other&#44all serving an abundance of delicious&#44smoky	sardines	( and other fresh-caught fish ) . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
tuduemwwm	61	snake	3	 And so the	snake	ends up eating its own tail . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
pyhfzllpr	62	turkey	3	 This after all&#44is when the president enters the White House Rose Garden and in a public ceremony pardons a	turkey	&#44 but then later on in the utter privacy of Camp David sits down to a turkey dinner . 	ANIMAL	ANIMAL	MEAT	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
bnvyzxxoe	63	whale	3	 If one compares hemoglobins from humans&#44chimps&#44horses &#44	whales	&#44 and so on&#44in general&#44the longer ago we diverged from one another in the evolutionary record&#44the more amino acid mutations distinguish the hemoglobins of the two species involved . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
qdsezevpt	64	bison	4	 Waves of Siberian hunters had crossed a land bridge over the Bering Strait in pursuit of mammoth and	bison	0	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
igfvavixh	65	buffalo	4	 For these great hunters of the Rocky Mountain foothills and prairies&#44wild game included grizzly and black bear&#44antelope&#44deer&#44elk&#44wild sheep&#44and goats&#44but the only real meat was	buffalo	0	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
dzkkyvrdx	66	catfish	4	 Summer always ended with a	catfish	 	DOT	DOT	DOT	ANIMAL	DOT	ANIMAL	DOT	DOT
hcchhoejf	67	chicken	4	 I hate them all : the lackadaisical baggage handlers who &#34 accidentally &#34 sent our luggage to a remote cargo area at JFK last week&#44the surly steward ( esse ) s&#44the brazen caterers whose spongy	chicken	in brown goo so shamelessly denigrates the memory of food . 	MEAT	DOT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
jkhrusunz	68	clam	4	 At the museum s little restaurant you can sample a traditional meal of	clam	chowder&#44meat pt&#44and molasses cakes . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
ukuouxidg	69	eel	4	 The holes provide an environment for turtles &#44	eels	&#44 and a variety of tropical fish . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
guqezajxc	70	lamb	4	 The nearest village was a couple of valleys away ; our neighbors were sheep and	lambs	0	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
brnyhdmln	71	lobster	4	 When the rabbi drops by for dinner on the night of the big pork and	lobster	banquet&#44you change the menu - not because there 's anything discreditable about eating sea and sty&#44but as a matter of tact . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
vkdklkkvc	72	mussel	4	 Note the colorful stands of dried fish and fresh fish&#44colorful pickles&#44stout young bamboo shoots&#44chicken wings and breasts arranged in elaborate patterns&#44and a whole cornucopia of squid &#44	mussels	&#44 oysters&#44and giant scallops . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
mlyippamo	73	prawn	4	 A plate of grilled sardines &#44	prawns	&#44 or squid and a bottle of house wine make a fantastic meal&#44and the prices are about as low as anywhere along the coast . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
uaizsbwzm	74	quail	4	 Underplayed : A California scientist announced that he has made chickens behave like	quails	by replacing their embryonic brain cells with quail brain cells . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
rbspnbwjh	75	reindeer	4	 In eleventh-century Lapland&#44before they discovered the nutritional value of	reindeer	milk&#44most of the inhabitants kept goats . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
avnvklpgw	76	shrimp	4	 Fish should be fed as much as they will eat at least once a day with live or frozen brine	shrimp	or dry food ( frozen food should be completely thawed before use ) . 	DOT	ANIMAL	DOT	MEAT	MEAT	MEAT	MEAT	MEAT
bxrlrpfum	77	tuna	4	 As one historian has written&#44a Jewish guidebook from the era included recipes for &#34 ' Maccabean sandwiches ' composed of either	tuna	fish or egg salad and shaped to resemble a bite-sized Maccabee warrior&#44or the ' Menorah fruit salad&#44' a composition of cream cheese and fruit that&#44when molded&#44resembled a menorah . &#34 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
scdrvwaps	78	whale	4	 From December to March&#44look out also for pods of migrating gray	whales	0	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
mcffqxsms	79	bison	5	 It was even possible to predict the effective population size throughout this period of	bison	evolution . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
gibfjfuak	80	buffalo	5	 Problem was&#44it was discovered late in the game that the	buffalo	is an anatomically correct he . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
ipibktdtw	81	camel	5	 Dunhuang has come a long way since the days when the Silk Road	camel	trains stopped here . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
ngnbaixwz	82	chicken	5	 He brought out that Willey knew Clinton had the hots for her from an earlier incident when then-candidate Clinton had asked her to bring some	chicken	soup to his room . 	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
wdpvvnhjb	83	clam	5	 Even if you don t intend to eat here&#44peer in the window at the oysters and	clams	being shucked at the raw bar ( the establishment serves as many as 4&#44000 oysters on a busy day ) . 	DOT	MEAT	MEAT	MEAT	MEAT	ANIMAL	MEAT	MEAT
istkkplfq	84	cod	5	 Indeed&#44the International Council for the Exploration of the Seas ( Copenhagen&#44Denmark ) recently recommended a total ban on North Sea and Irish Sea	cod	stocks&#44based on single-species assessment . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
ygojtqtud	85	cow	5	 This is olive and citrus country&#44with	cows	grazing among the trees . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
oblooxuws	86	crab	5	 You ll see hermit	crabs	scurrying across the ground&#44hiding in their shells as you approach . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
iizahzvbo	87	deer	5	 A story notes that biologists have discovered dozens of new mammal species in the past few years&#44including a new whale and a &#34 giant barking	deer	. &#34 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
kyknqtzhp	88	elk	5	 Complaints were heavy until the Washington Department of Fish and Wildlife announced a hunting season on the all-but-tame	elk	just beyond city limits . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
zipftvuou	89	hare	5	 This is the haunt of mountain	hare	&#44 partridge&#44and the ibex ( Capra pyrenaica )&#44a wild mountain goat with large horns that is unique to Spain . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
tflovhatm	90	lobster	5	 Improved benefit event : Mary Tyler Moore&#44Diane Sawyer&#44Katie Couric&#44and Liz Smith swim laps in a big tank of	lobsters	0	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
mykbunqml	91	octopus	5	 You ll see sea urchins&#44shoals of fish&#44and even small	octopuses	that make their homes in rocky crevices just off shore . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
ugshrrttp	92	pheasant	5	 But&#44says Lindburg&#44' if you protect the panda&#44you 're protecting the golden monkey&#44the monal	pheasants	&#44 the takins . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
cqjhhiswt	93	pigeon	5	 Scattered across the land are hundreds of dovecotes&#44which were introduced throughout the Aegean by the Venetians&#44who enjoyed	pigeon	as a part of their diet . 	MEAT	MEAT	MEAT	MEAT	DOT	MEAT	MEAT	MEAT
uzbtryjue	94	prawn	5	 The fruit and leaves feed crabs whose waste products in turn feed fish &#44	prawns	&#44 and mollusks . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
tipvqsodo	95	rabbit	5	 A jackalope is an imaginary horned	rabbit	&#44 reputedly inhabiting West Texas . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
yukgbkvto	96	sardine	5	 You can almost follow your nose toward the heady aroma of grilled	sardines	0	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
tdhqzlngs	97	squid	5	 Though chinstraps and gentoos also depend on krill&#44they 've dealt with krill declines by eating more fish and	squid	( which&#44not incidentally&#44also eat krill ) . 	DOT	MEAT	MEAT	ANIMAL	MEAT	MEAT	MEAT	MEAT
lruihjhzp	98	tuna	5	 East of Charlottetown&#44the longest of the circuits&#44375 km ( 233 miles )&#44encompasses pleasant beaches&#44rugged&#44red-stone capes and coves&#44shady forests&#44lobster and	tuna	fisheries&#44and potato and fruit farms . 	DOT	DOT	ANIMAL	ANIMAL	ANIMAL	DOT	ANIMAL	DOT
iibesqexo	99	boar	6	 Many dogs die in bitter territorial wars between rival squads of wild	boar	hunters and in the fierce competition between truffle hunters seeking a bigger share of the lucrative truffle market by eliminating rivals ' hounds . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
nkpememnc	100	chicken	6	 ( Ironically&#44Hudson Foods&#44primarily	chicken	suppliers&#44did n't distribute beef until Burger King talked them into the business a few years ago . ) 	MEAT	MEAT	MEAT	MEAT	DOT	MEAT	MEAT	MEAT
brkklngzo	101	crab	6	 In fact&#44their staple diet usually consisted of fish &#44	crabs	&#44 conch&#44and birds . 	DOT	MEAT	MEAT	DOT	MEAT	MEAT	MEAT	MEAT
pdcovvzxo	102	lamb	6	 There were no salient differences observed in the histoarchitecture of ovaries recovered from fetal	lambs	of control and restricted ewes . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
swdvhirqq	103	lobster	6	 Sharks and rays patrol the waterways&#44eels and	lobsters	lurk in the crevices and fissures . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
surrbcspx	104	mussel	6	 The Olho fish market is one of the Algarve s best&#44especially famous for its	mussels	and other shellfish . 	DOT	MEAT	MEAT	ANIMAL	DOT	MEAT	MEAT	MEAT
yzbsosvwu	105	pheasant	6	 On Nov . 6 in New Jersey&#44volunteers opened crates and pulled out	pheasants	&#44 then&#44holding them by the legs&#44spun the birds around to make them dizzy ; this is one feature of a program whose uneasy combination of private and state funding is drawing increasing criticism nationwide . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
pzpcnidfh	106	shrimp	6	 &#34 We look at it like this : The big fish eats the small fish and the small fish eats the	shrimp	0	ANIMAL	MEAT	MEAT	DOT	ANIMAL	MEAT	MEAT	MEAT
